is_treatment,response_att,food_share_15d,age,is_women
0,0,0.7512,37.0,0
1,0,0.0,59.0,0
0,1,0.8743,37.0,1
1,0,0.1464,26.0,1
1,0,0.0,29.0,1
0,0,0.0,37.0,1
1,0,0.0,23.0,0
1,0,0.213,64.0,1
0,0,0.0,32.0,0
1,0,0.0,32.0,1
1,0,0.0,67.0,1
0,0,0.5352,69.0,0
0,0,0.0,56.0,1
1,0,0.0,70.0,0
1,0,0.1887,19.0,1
1,1,0.0,48.0,0
0,0,0.0,29.0,0
1,0,0.0,39.0,1
1,0,0.0,22.0,1
1,0,0.0,60.0,0
1,0,0.0,59.0,0
1,0,0.0665,33.0,1
0,0,0.0,31.0,1
0,0,0.9643,37.0,1
1,0,0.2271,64.0,0
1,0,0.0,44.0,0
0,0,0.0,58.0,0
1,0,0.0702,36.0,1
1,0,0.0,59.0,1
0,0,0.0,,0
1,0,0.0,51.0,1
1,0,0.0,18.0,0
1,0,0.0,61.0,1
1,0,0.0,24.0,1
0,0,0.0,62.0,0
1,0,0.0,29.0,1
0,1,0.4508,33.0,0
1,0,0.0969,27.0,1
0,0,0.5252,29.0,0
1,0,0.0,59.0,1
1,0,0.0,30.0,1
1,0,0.0,42.0,1
0,1,0.9389,32.0,1
1,1,0.0,57.0,1
1,0,0.0,45.0,1
0,0,0.6883,53.0,0
1,0,0.0,20.0,1
1,0,0.0,40.0,0
0,0,0.0,78.0,1
1,0,0.0,65.0,1
1,0,0.0,35.0,1
1,1,0.1646,43.0,1
0,0,1.0,73.0,1
1,0,0.0,42.0,1
0,0,0.0,49.0,1
1,0,0.0,28.0,1
0,0,0.8524,36.0,1
0,0,0.0,46.0,0
1,0,0.3507,31.0,0
1,0,0.0,33.0,0
1,0,0.0,62.0,1
1,0,0.0,44.0,1
1,0,0.0,25.0,0
0,0,1.0,58.0,1
1,0,0.0,47.0,0
0,0,0.0,22.0,0
0,0,0.542,20.0,1
1,0,0.0,36.0,1
1,0,0.0,38.0,0
1,0,0.0,73.0,0
0,0,0.0,65.0,1
1,0,0.0,60.0,1
1,0,0.0,33.0,1
1,0,0.0,18.0,1
1,0,0.2981,34.0,1
1,0,0.1229,47.0,0
0,0,0.0,42.0,1
0,0,0.0,50.0,1
0,1,0.0,58.0,0
1,0,0.0,49.0,0
0,0,0.4511,33.0,1
0,0,0.8305,44.0,1
0,0,0.9722,61.0,0
1,0,0.2098,25.0,0
1,0,0.0,32.0,0
0,0,0.0,47.0,0
1,0,0.0,43.0,0
1,0,0.0,50.0,1
0,0,0.0,54.0,1
0,0,0.8329,42.0,1
0,0,0.0,44.0,0
1,0,0.0,38.0,1
1,0,0.0,31.0,0
1,0,0.0,36.0,0
1,0,0.4062,41.0,1
0,0,0.0,46.0,0
1,0,0.0,57.0,1
0,0,0.0,33.0,0
1,0,0.0,62.0,1
0,1,0.9356,36.0,1
1,0,0.0,37.0,1
0,0,0.9862,40.0,0
1,0,0.0,72.0,1
1,0,0.0,27.0,0
0,0,0.9643,35.0,0
1,0,0.0,25.0,0
1,0,0.0,36.0,0
1,0,0.0,62.0,1
1,0,0.0,34.0,0
1,0,0.0,36.0,0
1,0,0.0,35.0,0
1,0,0.0,53.0,1
1,0,0.0,53.0,1
1,0,0.0,57.0,1
0,0,0.9964,36.0,0
1,0,0.0,61.0,0
1,0,0.2407,41.0,0
0,0,0.0,20.0,1
1,0,0.0,55.0,0
1,0,0.0,31.0,1
1,0,0.0,20.0,1
1,0,0.0,65.0,0
1,0,0.0,36.0,1
0,0,0.0,50.0,1
1,0,0.1397,42.0,1
1,0,0.0,42.0,0
0,0,0.5909,28.0,0
0,1,0.3546,50.0,1
0,0,0.0,31.0,1
0,0,0.0,48.0,0
0,0,0.7117,41.0,1
1,0,0.0,56.0,0
0,0,0.4971,52.0,1
1,0,0.0,26.0,1
1,0,0.0,59.0,0
1,0,0.0,27.0,0
1,0,0.0,32.0,0
0,0,0.8267,56.0,1
1,0,0.0,53.0,1
1,0,0.0,54.0,0
0,0,0.0,66.0,1
1,0,0.0,70.0,1
1,0,0.3244,53.0,1
1,0,0.0,58.0,1
0,0,0.5720000000000001,40.0,1
0,0,0.6746,27.0,1
0,0,0.0,68.0,1
0,1,0.8817,25.0,0
1,0,0.0,31.0,0
1,0,0.0,28.0,0
0,0,0.0,67.0,1
0,0,1.0,84.0,1
1,1,0.0,47.0,0
1,0,0.0,44.0,0
1,1,0.3907,35.0,1
0,0,0.0,53.0,0
1,0,0.0,22.0,1
1,0,0.0,14.0,1
1,0,0.0,40.0,0
1,0,0.0,61.0,1
0,0,0.0,46.0,0
0,0,0.0,60.0,1
1,0,0.0,44.0,1
1,0,0.0,64.0,0
1,0,0.0,43.0,0
0,0,0.0,59.0,1
1,0,0.0,39.0,0
0,0,0.0,33.0,0
1,0,0.0,65.0,1
1,0,0.0,50.0,0
1,0,0.0,40.0,1
1,0,0.0,57.0,0
1,0,0.0,48.0,1
1,0,0.0,43.0,1
1,0,0.0,50.0,1
1,0,0.0,35.0,1
1,0,0.0,39.0,0
1,0,0.0,61.0,1
1,0,0.0,33.0,1
1,0,0.0,41.0,1
1,0,0.0,35.0,0
0,1,0.0,27.0,1
1,0,0.0,57.0,1
0,0,0.0,32.0,0
1,0,0.1234,23.0,1
1,0,0.0,23.0,1
1,0,0.0,43.0,0
0,1,0.0,59.0,1
1,0,0.0,29.0,1
0,0,0.0,25.0,0
1,0,0.0,48.0,1
0,0,0.0,31.0,1
1,0,0.0,36.0,0
1,0,0.0,60.0,1
0,0,0.0,28.0,0
1,0,0.0,30.0,0
1,0,0.0,57.0,1
1,0,0.0,31.0,0
1,0,0.0,51.0,1
1,0,0.0,34.0,1
1,0,0.0,22.0,1
1,0,0.0,32.0,0
1,0,0.0,28.0,1
1,0,0.0,30.0,0
0,0,0.0,35.0,1
1,0,0.0,64.0,1
1,0,0.0,71.0,1
1,0,0.0,65.0,0
1,0,0.0,64.0,1
1,0,0.0,74.0,0
0,0,0.0,78.0,0
1,0,0.0,47.0,1
1,0,0.0,60.0,1
1,1,0.0,62.0,1
1,0,0.0,65.0,1
1,0,0.0,51.0,0
1,0,0.0,50.0,0
1,0,0.0,22.0,1
0,1,0.64,28.0,0
1,1,0.0,61.0,0
0,0,0.0,44.0,0
1,0,0.0,46.0,0
1,0,0.0,49.0,1
1,0,0.0,53.0,0
0,0,0.366,42.0,1
0,0,0.0,56.0,1
1,0,0.0,54.0,1
1,1,0.0,33.0,1
0,0,0.0,21.0,1
1,0,0.0,64.0,0
0,0,0.0,31.0,1
1,0,0.0,30.0,1
1,0,0.0,33.0,1
0,0,0.0,23.0,1
0,0,0.0,45.0,1
1,0,0.2886,18.0,1
0,0,0.0,68.0,0
0,0,0.0,43.0,1
0,0,0.0,26.0,0
0,0,0.4937,52.0,1
1,0,0.0,25.0,1
0,0,0.3678,45.0,1
0,0,0.9455,30.0,0
0,0,0.2422,35.0,1
1,0,0.3216,45.0,1
1,0,0.0,22.0,1
0,0,0.0,35.0,1
1,0,0.0,51.0,1
1,0,0.0,73.0,1
1,0,0.0,28.0,0
1,0,0.0,33.0,1
1,0,0.0,54.0,1
1,0,0.0,80.0,1
1,0,0.0,51.0,1
1,0,0.0,37.0,1
1,0,0.0,,0
1,0,0.0,60.0,1
1,0,0.0,44.0,1
1,0,0.0,53.0,1
1,0,0.0,39.0,0
1,0,0.0,38.0,0
0,0,0.0,48.0,0
1,0,0.0,44.0,1
1,0,0.0,25.0,1
1,0,0.0,38.0,1
1,0,0.0,30.0,0
1,0,0.0,45.0,1
1,0,0.0,34.0,0
1,0,0.0,52.0,1
0,0,0.5522,60.0,0
1,0,0.0,71.0,1
1,0,0.0,22.0,1
0,0,0.0,31.0,0
1,0,0.0,28.0,1
0,0,0.0,30.0,0
1,0,0.3967,40.0,1
1,0,0.0,32.0,1
1,0,0.0385,58.0,1
1,0,0.0,55.0,1
0,0,0.4104,36.0,1
1,0,0.0,74.0,1
0,0,0.0,59.0,1
1,0,0.0,42.0,0
1,0,0.0,29.0,1
0,0,0.9795,61.0,0
0,0,0.8294,21.0,1
0,0,0.0,27.0,1
1,0,0.0,61.0,1
0,0,0.8403,58.0,0
1,0,0.0,33.0,1
1,0,0.0,69.0,0
1,0,0.0,21.0,0
1,0,0.0,58.0,1
0,0,0.0,82.0,0
1,0,0.0,53.0,0
1,0,0.0,77.0,0
0,0,0.6398,64.0,1
1,0,0.0,42.0,1
0,1,1.0,54.0,0
1,0,0.4312,47.0,1
1,0,0.2042,63.0,1
1,0,0.2669,38.0,1
0,0,0.7325,57.0,1
0,0,0.9436,53.0,0
0,0,0.0223,31.0,1
0,0,0.9476,21.0,1
1,0,0.2926,30.0,1
1,0,0.0,46.0,0
1,0,0.0,47.0,1
0,0,0.0,50.0,0
1,0,0.0,55.0,1
1,0,0.0,56.0,1
0,0,0.7776,35.0,1
1,0,0.0,59.0,1
0,1,0.9858,59.0,0
0,0,0.2204,27.0,1
1,0,0.0,47.0,1
0,1,0.0,72.0,1
0,0,0.0,28.0,0
1,0,0.0,50.0,1
1,0,0.0,21.0,1
0,0,0.6035,36.0,1
1,0,0.0,60.0,1
0,0,0.7176,69.0,0
0,0,0.0,55.0,0
1,0,0.0602,42.0,1
1,0,0.0,39.0,1
0,0,0.7346,25.0,1
1,0,0.0,35.0,1
1,1,0.0,32.0,1
0,0,0.8178,28.0,0
1,0,0.0,22.0,1
0,1,0.9953,57.0,0
1,0,0.0,46.0,0
1,0,0.0,40.0,1
1,0,0.2266,41.0,0
1,0,0.0,35.0,1
1,0,0.0,66.0,1
0,0,0.3535,36.0,1
1,0,0.0,33.0,1
1,0,0.0,27.0,0
1,0,0.0,43.0,0
0,0,0.4588,47.0,0
1,0,0.0204,33.0,0
0,0,0.0,45.0,1
1,0,0.0,58.0,0
0,1,0.6909,19.0,0
1,0,0.4058,31.0,0
0,0,0.8575,31.0,1
0,0,0.0,25.0,1
1,0,0.0,20.0,0
0,0,0.0,47.0,1
1,0,0.0,62.0,0
1,0,0.0,38.0,0
1,0,0.0,59.0,0
1,0,0.0,65.0,1
1,0,0.0,65.0,1
0,0,0.9064,53.0,1
0,0,0.0,52.0,1
1,0,0.0,51.0,1
1,0,0.0,30.0,1
1,0,0.0,19.0,1
0,0,0.9987,65.0,1
0,0,0.0,34.0,0
0,0,0.7547,63.0,0
0,0,0.0,61.0,1
1,0,0.1517,68.0,0
1,0,0.0,70.0,1
0,0,0.7836,29.0,1
1,0,0.0,64.0,1
1,0,0.0,34.0,0
0,1,0.7762,70.0,1
1,0,0.0,33.0,1
1,0,0.0,54.0,0
1,0,0.0,40.0,0
1,0,0.0,64.0,0
1,0,0.0,72.0,1
1,0,0.3026,27.0,1
0,0,0.0,58.0,1
1,0,0.0,59.0,1
1,0,0.0,57.0,1
1,0,0.4559,38.0,1
0,0,0.4763,56.0,1
0,1,0.9328,58.0,0
1,0,0.1064,39.0,1
0,0,0.0,31.0,0
1,0,0.0,69.0,1
1,0,0.0,58.0,1
0,0,0.1753,40.0,0
0,0,0.0,60.0,0
1,0,0.0,62.0,1
0,0,0.0,33.0,0
0,0,0.0,59.0,1
0,0,0.4883,39.0,1
1,0,0.0,17.0,0
1,0,0.0,54.0,1
1,0,0.0,19.0,1
1,0,0.0,40.0,1
0,0,0.0138,21.0,1
0,0,0.9044,56.0,1
1,0,0.0,31.0,1
1,0,0.0,49.0,0
0,0,0.8566,38.0,1
1,0,0.0,57.0,1
1,0,0.0,54.0,0
0,1,0.0,16.0,1
0,0,0.0,22.0,1
1,0,0.2082,36.0,1
1,0,0.0,71.0,0
0,1,0.9159,64.0,1
1,0,0.0,31.0,1
1,0,0.0,57.0,1
1,0,0.0,46.0,1
1,0,0.0,46.0,1
1,0,0.0,42.0,1
1,0,0.0,60.0,1
1,0,0.0,46.0,1
1,0,0.0,66.0,1
0,0,0.8959,56.0,0
1,0,0.0,65.0,1
0,1,0.578,22.0,0
1,0,0.0,41.0,1
1,0,0.0,66.0,1
1,0,0.0,20.0,1
1,0,0.0,45.0,1
1,0,0.0,34.0,1
1,0,0.0,49.0,1
1,0,0.0,67.0,1
1,0,0.0,27.0,1
1,0,0.0,43.0,1
0,0,0.0,45.0,0
1,0,0.0,41.0,1
1,0,0.1744,49.0,0
0,0,0.0,,0
0,0,0.0,56.0,1
0,1,0.0,,0
1,0,0.0,63.0,1
1,0,0.0,56.0,0
1,0,0.0,37.0,0
1,0,0.0,61.0,1
1,0,0.0,39.0,0
0,0,0.9804,61.0,0
1,0,0.0,49.0,1
1,1,0.0,31.0,0
1,0,0.0,41.0,0
0,0,0.4114,45.0,1
1,0,0.0,30.0,0
1,1,0.4312,47.0,1
1,0,0.0,26.0,1
0,0,0.0,71.0,1
1,0,0.0,52.0,1
1,0,0.0,32.0,0
0,0,1.0,78.0,1
0,0,0.8172,48.0,0
0,0,0.0,47.0,1
0,0,0.9427,58.0,0
0,0,0.0,24.0,0
0,0,0.0,42.0,0
1,0,0.0,26.0,0
1,0,0.0,22.0,0
1,0,0.0,38.0,1
1,0,0.0,69.0,0
0,0,0.0,47.0,1
1,0,0.0,50.0,1
0,0,0.4175,24.0,1
1,0,0.0,25.0,1
1,0,0.0,53.0,1
1,0,0.0,47.0,1
0,0,0.0,49.0,0
0,0,0.7439,57.0,1
1,0,0.0,44.0,0
0,0,0.9677,73.0,1
0,0,0.9976,51.0,0
0,0,0.0,,1
0,0,0.9948,31.0,0
0,0,0.0,57.0,1
1,0,0.0,48.0,0
0,0,1.0,66.0,1
0,0,0.0,68.0,1
1,0,0.0,33.0,1
1,0,0.0,15.0,1
0,0,0.0,23.0,0
0,0,0.0,54.0,1
1,0,0.0,35.0,0
0,0,0.9968,61.0,0
1,0,0.0,32.0,0
0,0,0.0,42.0,1
1,0,0.0,25.0,1
1,0,0.135,44.0,1
1,0,0.4084,20.0,1
1,0,0.0,76.0,1
0,0,0.8623,64.0,1
1,0,0.0,62.0,0
1,0,0.0,66.0,1
1,0,0.0,68.0,1
0,0,0.1793,51.0,1
0,0,0.0,28.0,1
1,0,0.0,18.0,1
1,0,0.0,55.0,1
1,0,0.0,44.0,0
1,0,0.0,49.0,1
1,0,0.3559,53.0,1
1,0,0.0,39.0,0
0,0,0.0,37.0,0
1,0,0.0,28.0,1
0,0,0.0,31.0,1
0,0,1.0,56.0,1
1,0,0.2788,28.0,1
0,0,0.4861,32.0,0
1,0,0.0,36.0,1
1,0,0.0,36.0,0
1,0,0.0,27.0,0
1,0,0.0,26.0,0
0,0,1.0,46.0,1
0,0,0.9409,45.0,0
1,0,0.0,58.0,1
0,0,0.0,59.0,0
1,0,0.0,56.0,1
1,0,0.1728,36.0,1
1,0,0.0,62.0,1
1,0,0.0,56.0,1
0,1,0.9823,50.0,0
1,0,0.0,40.0,1
0,0,0.0,24.0,0
1,0,0.0,23.0,1
1,0,0.0,31.0,1
0,0,0.9867,41.0,0
1,1,0.4337,68.0,1
0,0,0.0,43.0,1
1,0,0.0,47.0,1
0,0,0.5603,55.0,1
1,0,0.0,60.0,0
0,0,0.0,42.0,1
1,1,0.0,40.0,1
1,0,0.0,27.0,1
0,0,0.0,49.0,1
1,0,0.0,24.0,0
1,0,0.0,24.0,1
1,0,0.0,52.0,0
1,0,0.0,34.0,1
1,0,0.0,28.0,0
1,0,0.0,38.0,1
1,0,0.0,68.0,0
1,1,0.0,,0
0,0,0.0,33.0,0
1,0,0.0,42.0,1
1,0,0.0,45.0,1
0,0,0.892,49.0,1
1,0,0.0,49.0,0
0,0,1.0,72.0,0
1,0,0.0,35.0,1
1,0,0.0,48.0,0
1,0,0.0,53.0,1
1,0,0.0,50.0,1
0,0,0.0,30.0,1
1,0,0.0,53.0,0
1,0,0.0,,0
0,0,0.883,64.0,1
1,0,0.0,67.0,0
1,0,0.0,32.0,1
1,0,0.0,46.0,0
1,0,0.0,45.0,0
1,0,0.0,37.0,1
1,0,0.0,33.0,1
1,0,0.0,42.0,1
1,0,0.0,41.0,1
0,0,0.0,52.0,1
1,0,0.0,65.0,1
1,0,0.0,47.0,1
1,0,0.0,43.0,1
0,0,0.5,53.0,0
0,0,0.0,62.0,1
1,0,0.2394,51.0,0
1,0,0.0,43.0,0
1,0,0.0,56.0,1
0,0,0.5835,52.0,1
1,0,0.0,62.0,1
1,0,0.0,27.0,0
0,0,0.0,52.0,1
0,0,0.0779,40.0,0
0,0,0.9186,32.0,0
1,0,0.0,50.0,0
1,0,0.0,56.0,1
1,0,0.0,22.0,1
1,0,0.0,34.0,1
0,0,0.9971,54.0,0
1,0,0.0,29.0,1
0,0,0.0,31.0,0
0,0,0.0,43.0,1
1,0,0.0,38.0,1
0,0,0.0,47.0,0
0,0,0.0,19.0,0
0,0,0.0,34.0,0
1,0,0.0,49.0,0
0,0,0.0,25.0,1
1,0,0.0,12.0,0
0,0,0.628,28.0,1
1,0,0.0,40.0,1
0,0,0.0,37.0,1
1,0,0.0,60.0,1
1,0,0.0,22.0,1
1,0,0.1806,34.0,1
0,0,0.0,28.0,1
0,0,1.0,18.0,0
1,0,0.0,61.0,1
1,1,0.0,52.0,0
1,0,0.0,22.0,1
1,0,0.0,56.0,1
1,1,0.2854,67.0,0
1,0,0.0,33.0,1
1,0,0.311,40.0,1
0,0,0.6733,62.0,1
1,1,0.0,,0
1,0,0.0,47.0,1
0,0,0.0,43.0,1
0,0,0.4845,34.0,1
0,0,0.0,55.0,0
0,0,0.0,,0
1,0,0.0,,0
1,0,0.0,69.0,1
0,0,0.6405,35.0,1
0,1,0.5255,47.0,1
1,0,0.0,47.0,1
1,0,0.0,69.0,1
1,0,0.0,42.0,1
1,0,0.0,43.0,0
1,0,0.0,,0
1,0,0.3466,60.0,1
1,0,0.0,33.0,1
1,0,0.0,31.0,0
1,0,0.2364,51.0,0
0,0,0.0,58.0,0
1,0,0.0,37.0,0
1,0,0.0,27.0,0
1,0,0.0,39.0,1
0,0,1.0,61.0,1
1,0,0.2321,43.0,1
0,0,0.0,58.0,1
0,0,1.0,49.0,1
1,0,0.0,57.0,0
0,0,0.0,76.0,0
1,0,0.0,32.0,0
1,0,0.4005,36.0,0
0,0,0.5982,30.0,1
0,0,0.1235,30.0,1
1,0,0.2235,26.0,0
1,0,0.0,63.0,1
1,0,0.0,23.0,1
1,0,0.0,63.0,1
0,1,0.0,55.0,1
1,0,0.4226,28.0,0
0,0,0.0,29.0,0
1,0,0.0,36.0,1
1,0,0.0,71.0,1
1,0,0.0,53.0,1
1,0,0.0,46.0,1
1,0,0.0,82.0,1
1,0,0.0,39.0,1
1,0,0.4679,,1
1,1,0.0722,33.0,0
0,0,0.0,38.0,1
0,0,0.7959999999999999,51.0,0
0,0,0.7959,48.0,1
1,0,0.0,31.0,1
1,0,0.0,34.0,0
1,1,0.0,27.0,0
1,0,0.0,44.0,1
1,0,0.0485,41.0,1
0,0,0.8893,65.0,1
1,0,0.0,26.0,1
1,0,0.0664,,0
0,0,0.6651,37.0,0
1,0,0.0,36.0,0
1,0,0.0,38.0,1
1,0,0.0,54.0,1
1,0,0.0,52.0,0
0,0,0.0,40.0,1
1,0,0.0,36.0,0
0,0,0.4644,29.0,1
0,0,0.0,38.0,0
1,0,0.0,35.0,0
1,0,0.0,62.0,1
0,0,0.0,39.0,1
1,0,0.0,69.0,1
0,1,0.7587,31.0,1
0,0,0.0,29.0,1
1,1,0.0,28.0,1
1,0,0.0,41.0,1
1,0,0.0,31.0,0
1,0,0.0,35.0,1
0,0,0.9169,,0
0,0,0.0,57.0,1
1,0,0.0,61.0,0
1,1,0.0,78.0,1
1,0,0.0,40.0,1
1,1,0.0,67.0,1
1,0,0.0,31.0,1
1,0,0.0,59.0,1
1,0,0.0,35.0,1
1,0,0.0,44.0,1
0,0,0.8716,47.0,1
1,0,0.0,22.0,0
1,0,0.0,49.0,1
0,0,0.0,22.0,1
1,0,0.0,26.0,1
1,0,0.0,22.0,0
1,0,0.0,38.0,1
0,0,0.0,56.0,1
1,0,0.0,66.0,1
1,0,0.0,27.0,0
0,0,0.0,45.0,0
0,0,0.0,58.0,1
1,0,0.0981,31.0,0
1,0,0.0,49.0,0
1,0,0.0,63.0,1
1,0,0.0,16.0,0
1,0,0.0,33.0,1
1,1,0.0,32.0,1
0,0,0.0,39.0,0
1,0,0.0,48.0,1
1,0,0.0,59.0,0
1,0,0.0,39.0,0
0,0,0.0,72.0,1
0,0,0.8503,33.0,1
1,0,0.0,25.0,1
0,1,0.5425,30.0,1
1,0,0.2066,39.0,1
1,0,0.0,35.0,1
1,0,0.0,47.0,1
1,0,0.1771,28.0,1
0,0,0.9951,34.0,0
1,0,0.0,48.0,0
1,0,0.0,60.0,1
0,0,0.6978,45.0,0
0,0,0.0271,26.0,1
0,0,0.0,45.0,0
1,0,0.0,22.0,1
0,0,0.7977,53.0,1
1,0,0.4231,51.0,1
1,0,0.0,59.0,1
1,0,0.0,29.0,1
1,0,0.0,72.0,1
1,0,0.0,45.0,1
1,0,0.2584,49.0,1
1,1,0.0,66.0,1
0,1,0.0,38.0,0
1,0,0.0,31.0,0
1,0,0.4466,41.0,1
1,0,0.0,31.0,0
0,1,0.8691,66.0,0
0,0,1.0,46.0,0
1,0,0.0,48.0,1
0,0,0.0,45.0,0
1,0,0.0,53.0,0
1,0,0.0,39.0,1
0,0,0.0,49.0,1
1,0,0.0,68.0,0
0,0,0.0,37.0,1
0,0,0.0,50.0,0
0,0,0.7322,51.0,0
0,0,0.0,19.0,1
1,0,0.0,64.0,1
1,0,0.0,41.0,1
0,0,0.0,38.0,0
1,0,0.0,59.0,0
1,1,0.0,23.0,1
